,Gender,Label,Name_written,Name_spoken,segments,syllables,SCR,OCR,SCE,OCE,FVR,CVR,BVR,VE
14733,Female,1,crystal,k r ɪ s t ə l,7,2,0.2857142857142857,0.42857142857142855,1,0,0.14285714285714285,0.14285714285714285,0.0,0
14734,Female,1,ashley,æ ʃ l i,4,2,0.25,0.25,0,0,0.5,0.0,0.0,1
14735,Female,1,abby,æ b i,3,2,0.0,0.3333333333333333,0,0,0.6666666666666666,0.0,0.0,1
14736,Female,1,nadia,n æ d j ə,5,2,0.4,0.2,0,0,0.2,0.2,0.0,1
14737,Female,1,jenna,ʤ e n ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14738,Female,1,brianna,b r i æ n ə,6,2,0.3333333333333333,0.16666666666666666,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14739,Female,1,elizabeth,ɪ l ɪ z ə b ə ɵ,8,4,0.125,0.375,0,1,0.25,0.25,0.0,0
14740,Female,1,tatiana,t æ t i æ n ɒ,7,3,0.14285714285714285,0.2857142857142857,0,0,0.42857142857142855,0.0,0.14285714285714285,1
14741,Female,1,gracie,g r eɪ s i,5,2,0.2,0.4,0,0,0.2,0.0,0.0,1
14742,Female,1,kristie,k r ɪ s t i,6,2,0.16666666666666666,0.5,0,0,0.3333333333333333,0.0,0.0,1
14743,Female,1,julia,ʤ u l j ə,5,2,0.4,0.2,0,0,0.0,0.2,0.2,1
14744,Female,1,samantha,s ə m æ n ɵ ə,7,3,0.2857142857142857,0.2857142857142857,0,0,0.14285714285714285,0.2857142857142857,0.0,1
14745,Female,1,erica,e r ɪ k ə,5,3,0.2,0.2,0,0,0.4,0.2,0.0,1
14746,Female,1,anna,æ n ə,3,2,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14747,Female,1,lindsey,l ɪ n d z i,6,2,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0.0,0.0,1
14748,Female,1,gabriela,g ɒ b r i e l ɒ,8,3,0.25,0.25,0,0,0.25,0.0,0.25,1
14749,Female,1,sarah,s e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14750,Female,1,mia,m i ə,3,1,0.3333333333333333,0.0,0,0,0.3333333333333333,0.3333333333333333,0.0,1
14751,Female,1,kristin,k r ɪ s t ɪ n,7,2,0.2857142857142857,0.42857142857142855,1,0,0.2857142857142857,0.0,0.0,0
14752,Female,1,destiny,d e s t ə n i,7,3,0.14285714285714285,0.42857142857142855,0,0,0.2857142857142857,0.14285714285714285,0.0,1
14753,Female,1,hannah,h æ n ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14754,Female,1,olivia,o l ɪ v i ə,6,3,0.16666666666666666,0.16666666666666666,0,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1
14755,Female,1,amanda,ə m æ n d ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14756,Female,1,sarah,s e r ə,4,2,0.25,0.25,0,0,0.25,0.25,0.0,1
14757,Female,1,vania,v ɒ n i ə,5,2,0.2,0.2,0,0,0.2,0.2,0.2,1
14758,Female,1,veronica,v ɜ ɒ n ɪ k ə,7,4,0.14285714285714285,0.2857142857142857,0,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,1
14759,Female,1,sasha,s æ ʃ ə,4,2,0.0,0.5,0,0,0.25,0.25,0.0,1
14760,Female,1,amari,ɒ m ɒ r i,5,3,0.4,0.0,0,0,0.2,0.0,0.4,1
14761,Female,1,katie,k eɪ t i,4,2,0.0,0.5,0,0,0.25,0.0,0.0,1
14762,Female,1,ilana,ɪ l ɒ n ə,5,3,0.4,0.0,0,0,0.2,0.2,0.2,1
14763,Female,1,liana,l i ɒ n ə,5,2,0.4,0.0,0,0,0.2,0.2,0.2,1
14764,Female,1,robin,r ɒ b ə n,5,2,0.4,0.2,1,0,0.0,0.2,0.2,0
14765,Female,1,tabitha,t æ b ɪ ɵ ə,6,3,0.0,0.5,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14766,Female,1,rebecca,r ə b e k ə,6,3,0.16666666666666666,0.3333333333333333,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14767,Female,1,amy,eɪ m i,3,2,0.3333333333333333,0.0,0,0,0.3333333333333333,0.0,0.0,1
14768,Female,1,meghan,m e g ə n,5,2,0.4,0.2,1,0,0.2,0.2,0.0,0
14769,Female,1,raven,r eɪ v ə n,5,2,0.4,0.2,1,0,0.0,0.2,0.0,0
14770,Female,1,sabina,s ə b i n ə,6,3,0.16666666666666666,0.3333333333333333,0,0,0.16666666666666666,0.3333333333333333,0.0,1
14771,Female,1,taylor,t eɪ l ɜ,4,2,0.25,0.25,0,0,0.25,0.0,0.0,1
14772,Female,1,brooke,b r ʊ k,4,2,0.25,0.5,0,1,0.0,0.0,0.25,0
14773,Female,1,regina,r ɪ ʤ i n ə,6,3,0.3333333333333333,0.16666666666666666,0,0,0.3333333333333333,0.16666666666666666,0.0,1
14774,Female,1,evelyn,e v ə l ə n,6,3,0.3333333333333333,0.16666666666666666,1,0,0.16666666666666666,0.3333333333333333,0.0,0
